Mês,Empresa,Linha,Estudante_Cartao,Estudante_BT,Vale_Transporte,Integracao_Plena,Integracao_Complementar,Gratuito_Cartao,Gratuito_BT,Inteira_Cartao,Inteira_Especie,Tarifa_Social,Qtd_Viagens
1,GUANABARA - URB,6162,4253,1241,9053,1342,41,3779,2769,2047,10012,252,1619
1,GUANABARA - URB,6443,6929,1947,15226,2870,12,4894,2574,3387,15824,1513,1132
1,GUANABARA - URB,7501,3360,908,7335,1178,0,2053,913,2082,7210,0,737
1,GUANABARA - URB,7502,818,261,1652,312,0,611,316,487,1886,0,169
1,GUANABARA - URB,7601,218,79,533,115,0,287,113,73,687,417,71
1,REUNIDAS,7,14789,4563,45430,9991,189,8415,3925,8606,39628,3359,3586
1,REUNIDAS,26,16291,5699,50106,12882,250,7235,4809,8498,42178,4320,3209
1,REUNIDAS,27,10410,3112,23687,3513,111,9888,5329,5152,30294,3061,2948
1,REUNIDAS,35,14829,3957,32022,8841,923,11693,6948,8205,29497,2538,2647
1,REUNIDAS,68,9164,2625,24352,5151,131,8002,3542,6334,25202,1318,2366
1,REUNIDAS,73,31836,13882,109827,29590,506,16570,10232,15542,88472,8935,5315
1,REUNIDAS,85,9496,2099,17117,4653,558,7680,4448,4479,16833,0,1976
1,REUNIDAS,1029,15066,4755,41097,9765,109,9752,5001,7017,34460,2854,2675
1,REUNIDAS,1778,2053,654,5533,1032,29,1899,1100,1113,5795,699,614
1,REUNIDAS,6443,7188,2100,17198,3229,13,5542,2740,4171,18398,1505,1154
1,REUNIDAS,7847,13906,4557,30570,5566,57,9640,5988,7807,33377,3611,2436
1,REUNIDAS,9018,17,13,314,305,0,384,44,31,167,19,93
1,SANTA MARIA - URB,24,13291,4304,30853,11421,0,10562,6586,9035,28834,645,3586
1,SANTA MARIA - URB,34,4761,1418,8867,2383,0,7476,4569,2233,12728,0,1530
1,SANTA MARIA - URB,36,5514,1949,14256,4655,0,7025,4175,3017,17006,1338,2006
1,SANTA MARIA - URB,37,17916,6228,30512,10837,0,11157,7074,8367,34674,1234,3564
1,SANTA MARIA - URB,38,26900,8540,48578,13299,21,31929,16846,11583,75035,6370,4442
1,SANTA MARIA - URB,39,12985,3068,30123,10132,0,7918,3822,6392,21842,743,3202
1,SANTA MARIA - URB,44,11110,3893,23087,6165,0,11605,7586,5965,27227,776,3064
1,SANTA MARIA - URB,46,14058,5483,25976,11635,0,6092,5799,7200,34910,2138,2843
1,SANTA MARIA - URB,48,5669,2160,11139,3648,0,6204,4018,2215,15419,1180,2040
1,SANTA MARIA - URB,54,17027,6555,34782,12565,0,9693,7875,7525,42762,3782,3520
1,SANTA MARIA - URB,56,4528,1872,26356,11490,0,3166,2379,3935,21330,1329,2162
1,SANTA MARIA - URB,66,5724,2530,14590,1770,0,3175,2058,2703,18407,2097,2171
1,SANTA MARIA - URB,83,5516,2226,18283,1687,0,3999,1602,3435,19428,2425,1534
1,SANTA MARIA - URB,331,7371,2011,15550,2991,31,4051,1918,4034,14243,0,1284
1,SANTA MARIA - URB,332,1679,448,4087,869,0,854,439,1073,3023,190,554
1,SANTA MARIA - URB,411,4264,1022,7361,2809,0,2926,1136,2042,7536,406,737
1,SANTA MARIA - URB,561,92,73,2501,681,0,92,7,276,1068,55,342
1,VIA SUL - URB,50,23542,7685,67487,18340,197,14589,8364,12868,56430,2876,4868
1,VIA SUL - URB,51,14718,4651,23726,8241,0,9313,7109,6423,28337,596,3236
1,VIA SUL - URB,52,11903,4254,21598,6546,0,10320,7811,5368,28633,664,3109
1,VIA SUL - URB,65,6769,2331,13830,3490,0,4120,2392,3184,12411,0,1856
2,CONCEIÇÃO,21,20079,5794,36754,9057,0,17627,8033,6953,42507,0,3457
2,CONCEIÇÃO,22,200,61,304,55,0,165,73,54,392,0,44
2,CONCEIÇÃO,30,15615,3789,20751,5556,0,7185,3144,5300,21704,0,2203
2,CONCEIÇÃO,31,19030,4366,23203,8524,0,7584,3391,5801,21923,0,2327
2,CONCEIÇÃO,41,10232,2380,20282,8690,0,5848,3457,4754,14620,0,2194
2,CONCEIÇÃO,59,10713,4049,18844,6826,12,12439,4335,4862,27662,0,2273
2,CONCEIÇÃO,63,40701,9842,43915,20553,0,15472,6381,7950,40626,0,3636
2,CONCEIÇÃO,71,18160,5663,28023,5169,0,16782,6918,5681,36368,0,3097
2,CONCEIÇÃO,76,3675,989,7027,1474,41,3227,1094,1575,8279,0,623
2,CONCEIÇÃO,83,6206,2385,14499,1355,0,3256,1310,2674,15600,0,1148
2,CONCEIÇÃO,411,7246,2029,11545,4388,0,4836,1979,3316,11805,0,1077
2,CONCEIÇÃO,587,686,2,472,157,0,964,160,153,1955,0,962
2,CONCEIÇÃO,599,8266,2034,14912,5931,38,5642,938,3511,11402,0,1413
2,CONCEIÇÃO,905,87,31,744,45,0,193,12,64,509,0,203
2,CONCEIÇÃO,2369,983,245,1553,905,0,888,418,305,1495,0,377
2,CONCEIÇÃO,3001,2574,613,3886,1600,0,1288,642,974,3315,0,544
2,CONCEIÇÃO,3101,1663,381,1988,1068,0,518,272,460,1462,0,309
2,CONCEIÇÃO,6301,5216,1570,10242,2421,0,2722,1012,1888,8582,0,926
2,CONCEIÇÃO,7601,102,37,243,54,0,149,68,43,367,0,41
2,DUNAS - URB,33,41485,12809,69418,18089,104,18409,7548,16733,65000,0,4092
2,DUNAS - URB,40,31108,9779,48901,16946,31,29354,12908,11872,64568,0,3810
2,DUNAS - URB,57,2216,553,1902,999,0,1016,380,529,1811,0,355
2,DUNAS - URB,331,14287,3328,20810,4473,7,5722,2580,5917,18822,0,1471
2,DUNAS - URB,332,2518,642,4228,865,0,933,435,1172,2840,0,550
2,DUNAS - URB,411,4305,1240,7317,3171,0,2713,1002,1976,7031,0,668
2,GUANABARA - URB,2,17568,4680,35560,6690,226,8280,4163,6188,28613,0,2251
2,GUANABARA - URB,4,11332,4239,31809,6537,0,4029,2835,4140,22715,0,2099
2,GUANABARA - URB,5,5886,1769,12939,1740,30,4419,2447,2423,15732,0,1341
2,GUANABARA - URB,8,26629,8101,50859,18754,525,16379,6373,9293,42787,0,3018
2,GUANABARA - URB,13,1527,344,2237,613,28,985,438,679,2637,0,386
2,GUANABARA - URB,18,659,74,761,275,0,67,10,98,228,0,51
2,GUANABARA - URB,19,5761,2406,12830,3585,0,8865,4643,3028,15233,0,1726
2,GUANABARA - URB,20,6658,1890,10692,2771,0,9428,5571,2681,15361,0,1961
2,GUANABARA - URB,25,5871,1775,6666,1663,0,4182,2779,1304,8491,0,1131
2,GUANABARA - URB,60,30698,8368,56990,10291,329,12883,6463,10698,45806,0,3516
2,GUANABARA - URB,64,22339,6208,38053,6747,148,17119,9435,6560,41950,0,3220
2,GUANABARA - URB,67,6239,1774,13134,1735,31,4493,2621,2449,16266,0,1208
2,GUANABARA - URB,70,12787,4421,29362,4140,68,9432,6190,4985,33292,0,2588
2,GUANABARA - URB,72,12910,3770,29977,7337,53,6252,3152,6050,30735,0,2180
2,GUANABARA - URB,75,11111,2841,15732,2768,114,4808,2153,4317,16082,0,1651
2,GUANABARA - URB,76,3450,937,6613,1582,51,3347,921,1371,7298,0,546
2,GUANABARA - URB,77,19724,6447,48389,11636,74,8321,4716,8146,43093,0,3356
2,GUANABARA - URB,79,28016,7297,43726,10319,390,10084,4231,8427,38627,0,2856
2,GUANABARA - URB,81,7272,2056,12948,2451,16,4124,1756,3449,14053,0,1368
2,GUANABARA - URB,84,19150,4518,36441,13666,203,12489,6073,10431,32424,0,3372
2,GUANABARA - URB,101,8019,2108,16425,3720,74,9154,3707,3693,20064,0,1675
2,GUANABARA - URB,102,482,113,896,179,4,476,175,220,912,0,90
2,GUANABARA - URB,592,1238,273,1554,341,53,950,252,402,1094,0,760
2,GUANABARA - URB,593,4075,738,2699,712,0,987,398,558,3025,0,891
2,GUANABARA - URB,1029,7172,1934,12141,2790,34,3190,1577,2232,11054,0,877
2,GUANABARA - URB,1214,4414,1491,10547,1228,17,4432,2574,1758,11293,0,1493
2,GUANABARA - URB,1301,3468,890,5115,1138,54,2183,976,1278,5893,0,822
2,GUANABARA - URB,1302,751,193,949,240,6,455,180,204,1090,0,183
2,GUANABARA - URB,1516,11889,3555,20070,3682,149,8022,4686,4505,24113,0,1833
2,GUANABARA - URB,1778,11679,3371,20957,4303,150,8651,5019,4591,23683,0,1956
2,GUANABARA - URB,2369,874,230,2129,700,0,935,462,438,1450,0,331
2,GUANABARA - URB,6162,6341,1609,9124,1502,19,3937,2594,2025,10278,0,1404
2,GUANABARA - URB,6443,8203,2241,14603,2872,7,4986,2445,3437,14944,0,1006
2,GUANABARA - URB,7501,1377,323,2448,356,0,745,282,782,2166,0,211
2,GUANABARA - URB,7502,1869,465,2583,445,0,881,404,771,2775,0,268
2,GUANABARA - URB,7601,270,94,596,121,0,324,126,113,826,0,74
2,REUNIDAS,7,18545,5263,43577,10468,192,8564,3731,8911,38634,0,3198
2,REUNIDAS,26,25754,7619,45638,12633,227,7190,4541,8305,38659,0,2891
2,REUNIDAS,27,11722,3509,22250,3512,113,9483,4753,5088,29487,0,2679
2,REUNIDAS,29,0,0,0,0,0,0,0,0,0,0,1
2,REUNIDAS,35,19633,4823,31430,9067,963,11448,6713,8598,28638,0,2395
2,REUNIDAS,68,11649,3123,23667,5226,145,7836,3124,6189,24625,0,2142
2,REUNIDAS,73,48043,17162,102536,29503,573,15240,9244,15307,82515,0,4649
2,REUNIDAS,85,15152,2850,17500,5163,630,7828,4204,4864,16799,0,1835
2,REUNIDAS,1029,24126,6448,38109,9944,140,9479,4430,6993,34382,0,2418
2,REUNIDAS,1778,2686,809,5289,1026,22,1793,985,1098,5520,0,528
2,REUNIDAS,6443,8712,2425,16710,3311,13,5253,2469,4219,16883,0,1037
2,REUNIDAS,7847,19359,5983,29761,5649,57,9668,5201,8080,33094,0,2277
2,REUNIDAS,9018,31,14,281,330,0,465,46,32,230,0,85
2,SANTA MARIA - URB,24,17817,5768,31583,11527,0,10896,6266,9606,29599,0,3275
2,SANTA MARIA - URB,34,6843,1811,9060,2525,0,7899,4667,2376,13112,0,1396
2,SANTA MARIA - URB,36,9021,3022,14085,4965,0,7000,3851,3248,16985,0,1708
2,SANTA MARIA - URB,37,28964,9023,30168,11516,1,11161,6893,8735,35475,0,3169
2,SANTA MARIA - URB,38,31903,10084,45188,12696,9,30332,15707,11150,70138,0,3990
2,SANTA MARIA - URB,39,20861,4898,31013,10975,0,8549,3915,7191,23665,0,2853
2,SANTA MARIA - URB,44,15954,5045,21792,6362,0,11668,6888,6046,26897,0,2796
2,SANTA MARIA - URB,46,24624,8454,26526,12333,0,6376,5592,7373,36421,0,2543
2,SANTA MARIA - URB,48,12970,3920,12166,5167,0,6135,3998,2579,16295,0,1948
2,SANTA MARIA - URB,54,27296,9345,34774,12898,0,9539,7262,8101,42729,0,3125
2,SANTA MARIA - URB,56,5806,2478,24728,10607,0,3172,2302,3884,20150,0,1974
2,SANTA MARIA - URB,66,11043,3792,14931,2091,0,3176,1825,2875,18056,0,1939
2,SANTA MARIA - URB,83,7221,2793,16979,1625,0,4028,1532,3607,18095,0,1379
2,SANTA MARIA - URB,331,9962,2466,15221,3417,18,4095,1765,4216,13365,0,1195
2,SANTA MARIA - URB,332,2742,647,4293,870,0,895,440,1261,3045,0,546
2,SANTA MARIA - URB,411,4518,1326,6796,2805,0,2904,1004,2006,7274,0,672
2,SANTA MARIA - URB,561,94,48,1974,312,0,76,3,243,950,0,307
2,VIA SUL - URB,50,35758,10404,65923,19071,194,16328,8188,13639,56137,0,4607
2,VIA SUL - URB,51,23061,6994,23201,8395,0,9573,6800,6813,29242,0,2948
2,VIA SUL - URB,52,16654,5538,20605,6718,0,9743,7486,5224,27127,0,2770
2,VIA SUL - URB,65,11093,3410,13722,3681,0,4613,2430,3475,13169,0,1750
3,CONCEIÇÃO,21,21918,6511,36505,9264,0,17747,8154,6889,41637,828,3650
3,CONCEIÇÃO,22,684,155,815,126,0,428,178,138,954,0,92
3,CONCEIÇÃO,30,17385,4332,20847,5489,0,7374,3363,5139,20748,425,2246
3,CONCEIÇÃO,31,21297,4907,21961,8390,0,7129,3302,5455,20249,26,2184
3,CONCEIÇÃO,41,9793,2466,17508,7189,0,5191,2859,4138,12441,0,1922
3,CONCEIÇÃO,59,12785,4763,19351,6556,23,12544,4326,4434,28064,661,2429
3,CONCEIÇÃO,63,44689,10877,43280,19670,0,15379,5982,7587,37933,1010,3615
3,CONCEIÇÃO,71,19327,5654,25993,4574,0,16912,6665,4942,33991,703,3032
3,CONCEIÇÃO,76,3840,1101,6909,1482,44,3460,1161,1426,8154,308,682
3,CONCEIÇÃO,83,6972,2721,15395,1414,0,3174,1392,2771,16191,641,1254
3,CONCEIÇÃO,411,8143,2290,10959,4540,0,4881,1937,3043,11397,183,1091
3,CONCEIÇÃO,587,1321,2,542,177,0,1065,183,136,2063,55,1075
3,CONCEIÇÃO,599,10273,2431,14889,5601,51,6084,998,3261,11187,132,1406
3,CONCEIÇÃO,905,183,97,907,50,0,217,11,58,800,18,231
3,CONCEIÇÃO,2369,1151,291,1352,820,0,778,390,245,1279,0,341
3,CONCEIÇÃO,3001,2694,654,3955,1611,0,1271,590,797,3211,93,613
3,CONCEIÇÃO,3101,1962,432,2222,969,0,549,273,489,1527,0,297
3,CONCEIÇÃO,6301,6116,1706,10574,2495,0,3090,1122,1899,8701,242,982
3,CONCEIÇÃO,7601,56,7,111,29,0,80,33,24,195,105,29
3,DUNAS - URB,33,49951,14771,71003,18582,122,19068,7758,16294,63920,1863,4441
3,DUNAS - URB,40,35835,11056,49153,17071,33,31662,13300,11517,64064,1335,4096
3,DUNAS - URB,57,3258,748,2284,1114,0,1169,430,552,2096,0,390
3,DUNAS - URB,331,15726,3657,20130,4382,10,5723,2459,5550,17650,0,1515
3,DUNAS - URB,332,3153,781,4759,966,0,1037,513,1263,3112,0,632
3,DUNAS - URB,411,5018,1526,7743,3406,0,2848,1102,1961,6825,205,707
3,GUANABARA - URB,2,19966,5627,38354,7164,223,8651,4069,6136,28728,439,2603
3,GUANABARA - URB,4,12778,4683,30829,6012,0,3975,2704,3865,20817,468,2132
3,GUANABARA - URB,5,6225,1881,12976,1668,55,4389,2514,2261,15545,499,1472
3,GUANABARA - URB,8,33097,10079,55371,20250,604,17597,6609,9444,44147,2301,3437
3,GUANABARA - URB,13,6896,1645,7215,1841,100,3320,1413,1968,8267,0,1481
3,GUANABARA - URB,18,708,100,696,188,0,71,15,83,177,0,46
3,GUANABARA - URB,19,6192,2432,12329,3055,0,8833,4329,2621,14315,159,1775
3,GUANABARA - URB,20,7403,2033,9985,2438,0,9257,5280,2421,14336,0,1957
3,GUANABARA - URB,25,7193,2105,6231,1574,0,4094,2716,1232,7827,0,1275
3,GUANABARA - URB,60,33998,9537,59021,10437,318,13625,6375,10472,45153,860,3863
3,GUANABARA - URB,64,24577,6869,36479,6380,157,16827,9162,6302,39302,912,3346
3,GUANABARA - URB,67,6168,1929,12126,1583,41,4256,2443,2353,14723,0,1121
3,GUANABARA - URB,70,14430,4975,29606,4191,83,9382,6092,4781,32104,510,2822
3,GUANABARA - URB,72,15245,4807,32501,7645,74,6814,3532,6037,31815,873,2415
3,GUANABARA - URB,75,13405,3035,16280,2732,110,5318,2184,4531,15474,417,1807
3,GUANABARA - URB,76,3813,1125,6647,1477,70,3393,967,1391,7534,239,586
3,GUANABARA - URB,77,22863,7817,51843,12204,87,8956,5131,8204,43928,1320,3782
3,GUANABARA - URB,79,30631,8026,45353,9976,381,10480,4105,8076,37904,1118,3087
3,GUANABARA - URB,81,8521,2360,12939,2491,18,4108,1835,3465,13802,149,1528
3,GUANABARA - URB,84,22118,5297,36692,13561,162,12898,5938,10323,32000,1530,3575
3,GUANABARA - URB,101,7366,2111,15683,3214,68,8170,3353,3032,17911,626,1656
3,GUANABARA - URB,102,1021,232,2191,543,5,1059,414,459,2506,0,215
3,GUANABARA - URB,592,1576,316,1702,342,60,873,242,374,1040,46,843
3,GUANABARA - URB,593,4728,886,2729,696,0,992,411,545,2768,45,980
3,GUANABARA - URB,1029,8801,2394,14450,3690,79,3970,1957,2378,12556,426,1124
3,GUANABARA - URB,1214,4640,1507,9857,1139,12,4140,2410,1588,9609,0,1381
3,GUANABARA - URB,1301,171,50,250,71,3,106,62,56,266,0,44
3,GUANABARA - URB,1302,100,33,218,31,1,66,42,52,268,0,44
3,GUANABARA - URB,1516,12852,3902,20779,3834,149,8180,4552,4451,24061,326,1975
3,GUANABARA - URB,1778,11430,3435,18987,3830,148,8017,4353,3838,20688,377,2025
3,GUANABARA - URB,2369,1059,252,1986,625,0,885,450,413,1389,0,329
3,GUANABARA - URB,6162,6500,1632,8314,1247,22,3502,2281,1894,8818,0,1250
3,GUANABARA - URB,6443,9192,2501,15642,3090,11,5160,2480,3437,15096,245,1125
3,GUANABARA - URB,7501,4560,1056,4689,1069,0,1566,638,1368,4771,0,495
3,GUANABARA - URB,7502,112,25,104,30,0,35,11,28,79,0,10
3,GUANABARA - URB,7601,314,124,700,132,0,434,173,94,908,327,97
3,REUNIDAS,7,20597,5714,43474,9986,222,8560,3417,8124,35928,1245,3370
3,REUNIDAS,26,28079,8245,46173,12492,236,7648,4640,8153,36869,961,3198
3,REUNIDAS,27,12886,3765,23104,3462,148,9928,4899,4679,28389,875,2853
3,REUNIDAS,35,21283,5571,30814,9104,984,11379,6456,8279,26921,715,2480
3,REUNIDAS,68,12307,3351,23520,4761,174,7876,3003,5690,22838,421,2194
3,REUNIDAS,73,51877,19223,107614,31033,601,16097,9909,15251,82527,4034,4976
3,REUNIDAS,85,16646,3177,16141,4526,612,7343,4117,4183,14582,0,1776
3,REUNIDAS,1029,27051,6903,39677,10405,175,9891,4477,7207,32213,1341,2567
3,REUNIDAS,1778,2999,902,6194,1170,40,2183,1277,1122,6402,300,633
3,REUNIDAS,6443,9323,2771,17459,3561,13,5788,2597,3873,17001,585,1140
3,REUNIDAS,7847,21397,6589,31343,6268,55,10215,5197,8183,31510,891,2573
3,REUNIDAS,9018,41,21,341,312,0,353,52,42,238,0,96
3,SANTA MARIA - URB,24,19549,6394,30205,10980,0,10683,6145,8871,26960,230,3191
3,SANTA MARIA - URB,34,6825,1939,8773,2533,0,7651,4663,2253,12199,0,1436
3,SANTA MARIA - URB,36,10085,3454,13689,5014,0,7459,4031,3123,15739,279,1937
3,SANTA MARIA - URB,37,32150,10185,30284,11991,0,11639,6613,8273,33297,465,3401
3,SANTA MARIA - URB,38,33793,11026,45111,13099,15,31025,15438,10385,69144,1430,4215
3,SANTA MARIA - URB,39,22615,5330,31334,11439,0,8457,3940,6827,22447,233,2950
3,SANTA MARIA - URB,44,18484,5897,23718,6643,0,12712,7336,6354,26156,272,3172
3,SANTA MARIA - URB,46,27658,9425,27840,12773,0,6219,5258,6963,33992,900,2783
3,SANTA MARIA - URB,48,16562,4724,12931,5792,0,6809,4217,2695,15870,265,2071
3,SANTA MARIA - URB,54,30483,10555,36290,13666,0,10140,7457,7737,41107,1214,3506
3,SANTA MARIA - URB,56,6325,2878,25658,10615,0,3088,2095,3751,19222,423,2293
3,SANTA MARIA - URB,66,12292,4176,14625,1995,0,3048,1675,2737,17027,598,1941
3,SANTA MARIA - URB,83,7978,3403,18042,1708,0,4021,1549,3545,18738,806,1506
3,SANTA MARIA - URB,331,11676,2926,16248,3428,12,4280,1778,4188,13098,702,1277
3,SANTA MARIA - URB,332,3077,705,3913,927,0,972,410,1040,2644,74,563
3,SANTA MARIA - URB,411,5535,1509,7079,2829,0,3079,1074,1995,7057,151,691
3,SANTA MARIA - URB,561,207,118,2213,423,0,125,7,271,1250,30,335
3,VIA SUL - URB,50,39426,11845,67757,19460,203,16467,8290,12798,53802,1327,4955
3,VIA SUL - URB,51,24440,7422,22361,8205,0,9200,5873,6247,25347,320,3103
3,VIA SUL - URB,52,16950,5656,19681,6374,0,9649,6793,4803,24306,300,2987
3,VIA SUL - URB,65,11650,3619,12975,3494,0,4183,2121,3255,11322,0,1669
4,CONCEIÇÃO,21,22955,5671,35338,8689,0,17955,8264,7089,39972,2331,3456
4,CONCEIÇÃO,22,749,196,1042,202,0,599,207,206,1112,224,134
4,CONCEIÇÃO,30,18705,3958,21687,5416,0,7557,3423,5429,21213,1135,2223
4,CONCEIÇÃO,31,23329,4938,23617,8698,0,8049,3394,6124,22191,0,2271
4,CONCEIÇÃO,41,12209,2483,21771,8939,0,6292,3449,5127,15703,102,2092
4,CONCEIÇÃO,59,13807,3886,19311,6824,17,12758,4336,4785,26774,2123,2449
4,CONCEIÇÃO,63,50171,10154,46815,21531,0,16619,6128,8547,40256,3016,3659
4,CONCEIÇÃO,71,21032,5339,26712,4888,0,17244,6647,5190,33866,962,3046
4,CONCEIÇÃO,76,4024,860,7501,1437,59,3574,1155,1424,8198,421,659
4,CONCEIÇÃO,83,7400,2406,15410,1558,0,3389,1293,3117,15941,1316,1262
4,CONCEIÇÃO,411,7730,1718,9362,3601,0,3987,1512,2719,10201,383,919
4,CONCEIÇÃO,412,1198,211,1316,0,0,693,237,408,1304,0,232
4,CONCEIÇÃO,587,2227,2,596,233,0,1116,154,219,2144,167,1026
4,CONCEIÇÃO,599,12913,2759,16284,6205,66,6768,979,3763,12480,688,1498
4,CONCEIÇÃO,905,70,34,643,32,0,211,18,42,545,58,219
4,CONCEIÇÃO,2369,1077,255,1308,743,0,834,367,307,1333,0,355
4,CONCEIÇÃO,3001,3316,743,4380,1638,0,1521,654,1010,3416,439,622
4,CONCEIÇÃO,3101,1999,435,2270,984,0,548,257,446,1699,0,299
4,CONCEIÇÃO,6301,6361,1540,10099,2449,0,2772,979,1855,8202,618,908
4,CONCEIÇÃO,7601,78,13,185,34,0,118,44,21,143,250,31
4,DUNAS - URB,33,59339,11234,74096,19500,121,20563,7948,18089,69030,4098,4440
4,DUNAS - URB,40,39236,7519,48535,17185,35,30965,12223,11712,62096,3063,4007
4,DUNAS - URB,57,1279,320,1209,832,0,690,310,301,1194,0,656
4,DUNAS - URB,331,16527,2878,20929,4385,31,5782,2530,5901,18480,1000,1401
4,DUNAS - URB,332,3439,597,4704,977,0,1130,514,1292,2981,440,587
4,DUNAS - URB,411,3569,780,4849,2082,0,1930,717,1301,4805,492,461
4,DUNAS - URB,412,2553,351,1200,0,0,853,244,372,1448,0,224
4,GUANABARA - URB,2,21951,4846,41216,7483,267,9474,4297,6770,30882,1880,2762
4,GUANABARA - URB,4,13576,4235,31733,6222,0,3949,2634,4177,21176,1400,2200
4,GUANABARA - URB,5,6617,1595,13019,1689,57,4666,2510,2352,15065,1050,1440
